,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,orbetello,42.4408,11.2196,49.8,93.0,0.0,3.44,IT,1643577775.0
1,san patricio,28.017,-97.5169,72.32,50.0,28.0,11.65,US,1643577775.0
2,cozumel,20.5083,-86.9458,74.95,57.0,40.0,3.0,MX,1643577680.0
3,yibin,28.7667,104.6238,42.91,84.0,85.0,2.17,CN,1643577776.0
5,ilulissat,69.2167,-51.1,6.82,56.0,75.0,14.97,GL,1643577524.0
6,novoilinsk,51.6829,108.7143,-14.03,100.0,100.0,1.72,RU,1643577777.0
7,rikitea,-23.1203,-134.9692,76.33,69.0,100.0,4.56,PF,1643577777.0
8,doha,25.2867,51.5333,62.58,65.0,0.0,6.91,QA,1643577718.0
9,ribeira grande,38.5167,-28.7,59.4,63.0,40.0,19.57,PT,1643577778.0
10,kumbo,6.2,10.6667,62.89,28.0,98.0,5.95,CM,1643577778.0
11,new norfolk,-42.7826,147.0587,59.67,73.0,5.0,1.97,AU,1643577779.0
12,volno-nadezhdinskoye,43.3833,131.9917,6.28,66.0,9.0,4.47,RU,1643577779.0
13,ushuaia,-54.8,-68.3,47.86,61.0,75.0,33.38,AR,1643577779.0
14,tasiilaq,65.6145,-37.6368,6.96,45.0,95.0,17.18,GL,1643577780.0
15,port alfred,-33.5906,26.891,74.1,88.0,96.0,18.9,ZA,1643577596.0
16,hilo,19.7297,-155.09,78.53,54.0,20.0,9.22,US,1643577640.0
17,fairbanks,64.8378,-147.7164,-9.08,74.0,0.0,0.0,US,1643577602.0
18,barrow,71.2906,-156.7887,-7.58,71.0,100.0,9.22,US,1643577781.0
19,vaini,-21.2,-175.2,79.81,78.0,100.0,12.06,TO,1643577781.0
20,foix,42.8333,1.5833,37.0,31.0,4.0,5.5,FR,1643577782.0
21,mabaruma,8.2,-59.7833,80.28,68.0,39.0,6.78,GY,1643577594.0
22,qaanaaq,77.484,-69.3632,-7.91,67.0,100.0,6.64,GL,1643577783.0
23,khatanga,71.9667,102.5,-6.81,98.0,99.0,9.93,RU,1643577639.0
24,ust-nera,64.5667,143.2,-12.41,100.0,100.0,1.66,RU,1643577783.0
25,lavrentiya,65.5833,-171.0,-5.94,90.0,3.0,4.76,RU,1643577784.0
26,ajdabiya,30.7554,20.2263,54.88,66.0,84.0,17.94,LY,1643577784.0
28,provideniya,64.3833,-173.3,12.31,73.0,0.0,15.66,RU,1643577785.0
29,bumba,2.1833,22.4667,73.94,36.0,82.0,2.64,CD,1643577785.0
30,roma,43.2128,-75.4557,22.82,42.0,20.0,6.91,US,1643577605.0
31,mataura,-46.1927,168.8643,66.47,82.0,47.0,1.19,NZ,1643577637.0
32,vicuna,-30.0319,-70.7081,79.77,43.0,0.0,9.04,CL,1643577786.0
35,hermanus,-34.4187,19.2345,73.9,85.0,100.0,13.65,ZA,1643577523.0
36,kruisfontein,-34.0033,24.7314,70.88,95.0,74.0,6.11,ZA,1643577787.0
37,port elizabeth,-33.918,25.5701,73.09,94.0,20.0,12.66,ZA,1643577639.0
38,butaritari,3.0707,172.7902,81.81,76.0,18.0,21.03,KI,1643577647.0
39,diego de almagro,-26.3667,-70.05,76.21,28.0,0.0,13.58,CL,1643577788.0
40,jamestown,42.097,-79.2353,21.02,54.0,100.0,3.0,US,1643577449.0
41,castro,-24.7911,-50.0119,64.9,96.0,97.0,6.51,BR,1643577788.0
42,avera,33.194,-82.5271,59.76,43.0,0.0,16.22,US,1643577789.0
43,pandan,14.0453,124.1694,76.86,89.0,31.0,11.52,PH,1643577790.0
45,busselton,-33.65,115.3333,63.05,65.0,87.0,17.78,AU,1643577588.0
46,santa cruz,-17.8,-63.1667,94.46,36.0,20.0,9.22,BO,1643577790.0
47,chokurdakh,70.6333,147.9167,-30.15,92.0,17.0,2.53,RU,1643577632.0
48,lompoc,34.6391,-120.4579,74.01,31.0,0.0,14.97,US,1643577604.0
49,saskylakh,71.9167,114.0833,-17.91,100.0,100.0,2.46,RU,1643577526.0
50,severo-kurilsk,50.6789,156.125,27.55,94.0,100.0,12.75,RU,1643577791.0
52,hervey bay,-25.2986,152.8535,78.04,84.0,21.0,9.53,AU,1643577852.0
53,mahebourg,-20.4081,57.7,79.09,94.0,75.0,12.66,MU,1643577721.0
54,kelvington,52.1667,-103.5343,22.66,93.0,49.0,6.22,CA,1643577852.0
55,hami,42.8,93.45,23.63,41.0,100.0,1.3,CN,1643577853.0
56,seoul,37.5683,126.9778,20.64,73.0,0.0,2.3,KR,1643577853.0
57,ancud,-41.8697,-73.8203,63.43,56.0,27.0,12.57,CL,1643577854.0
58,atuona,-9.8,-139.0333,78.01,77.0,9.0,13.47,PF,1643577725.0
59,kichera,55.9375,110.0997,-5.96,97.0,100.0,0.96,RU,1643577855.0
61,hofn,64.2539,-15.2082,26.11,50.0,0.0,23.24,IS,1643577855.0
62,bengkulu,-3.8004,102.2655,75.97,89.0,100.0,3.27,ID,1643577856.0
63,sept-iles,50.2001,-66.3821,9.05,61.0,75.0,7.0,CA,1643577856.0
65,hobart,-42.8794,147.3294,60.03,90.0,75.0,5.75,AU,1643577857.0
66,puerto ayora,-0.7393,-90.3518,85.96,73.0,100.0,8.84,EC,1643577670.0
68,la ronge,55.1001,-105.2842,12.45,79.0,100.0,8.05,CA,1643577858.0
69,pevek,69.7008,170.3133,-12.42,95.0,100.0,2.48,RU,1643577858.0
70,surin,14.8818,103.4936,76.8,71.0,23.0,6.4,TH,1643577859.0
71,georgetown,5.4112,100.3354,81.9,88.0,20.0,2.3,MY,1643577577.0
72,albany,42.6001,-73.9662,21.15,38.0,13.0,7.0,US,1643577427.0
73,salalah,17.0151,54.0924,69.89,73.0,0.0,3.44,OM,1643577860.0
74,dikson,73.5069,80.5464,-2.78,93.0,100.0,20.98,RU,1643577860.0
75,kourou,5.1552,-52.6478,78.85,87.0,23.0,10.45,GF,1643577861.0
76,pangnirtung,66.1451,-65.7125,-18.4,57.0,20.0,3.44,CA,1643577861.0
77,saint george,37.1041,-113.5841,63.07,17.0,0.0,1.01,US,1643577666.0
78,port lincoln,-34.7333,135.8667,66.54,83.0,31.0,8.16,AU,1643577862.0
79,esperance,-33.8667,121.9,64.24,71.0,48.0,8.99,AU,1643577862.0
80,champerico,14.3,-91.9167,91.94,64.0,3.0,10.69,GT,1643577749.0
81,vagur,61.4732,-6.8119,36.82,95.0,100.0,43.4,FO,1643577863.0
82,alice springs,-23.7,133.8833,72.95,100.0,75.0,12.66,AU,1643577809.0
83,college,64.8569,-147.8028,-18.42,73.0,40.0,0.0,US,1643577863.0
84,lubao,14.9167,120.55,78.82,85.0,95.0,4.41,PH,1643577864.0
85,flinders,-34.5833,150.8552,76.8,86.0,21.0,5.99,AU,1643577745.0
86,poum,-20.2333,164.0167,80.02,76.0,97.0,8.61,NC,1643577681.0
87,itabera,-23.8619,-49.1372,67.1,97.0,99.0,7.63,BR,1643577864.0
88,tottori,35.5,134.2333,33.87,100.0,75.0,2.3,JP,1643577865.0
90,avarua,-21.2078,-159.775,73.45,100.0,75.0,1.14,CK,1643577865.0
91,laguna,38.421,-121.4238,64.63,57.0,0.0,1.01,US,1643577594.0
92,yellowknife,62.456,-114.3525,-7.58,90.0,100.0,9.22,CA,1643577684.0
94,thompson,55.7435,-97.8558,6.96,72.0,20.0,6.91,CA,1643577614.0
95,saint-philippe,-21.3585,55.7679,78.39,81.0,48.0,12.24,RE,1643577867.0
96,bluff,-46.6,168.3333,66.79,87.0,96.0,4.9,NZ,1643577867.0
97,san juan,-31.5375,-68.5364,94.41,21.0,3.0,11.63,AR,1643577868.0
98,rocha,-34.4833,-54.3333,79.25,55.0,0.0,10.51,UY,1643577758.0
99,upernavik,72.7868,-56.1549,-2.63,70.0,100.0,9.42,GL,1643577868.0
100,bowen,-20.0167,148.2333,78.84,83.0,55.0,7.58,AU,1643577523.0
101,maragogi,-9.0122,-35.2225,80.06,79.0,100.0,9.84,BR,1643577432.0
102,manzil salim,35.8567,8.4765,42.8,52.0,0.0,2.53,TN,1643577929.0
103,punta arenas,-53.15,-70.9167,53.71,47.0,40.0,32.21,CL,1643577929.0
104,coquimbo,-29.9533,-71.3436,67.73,72.0,0.0,12.66,CL,1643577796.0
108,kapaa,22.0752,-159.319,80.58,65.0,0.0,1.99,US,1643577931.0
109,virden,39.5009,-89.7679,34.39,56.0,40.0,11.72,US,1643577931.0
110,namatanai,-3.6667,152.4333,79.79,80.0,100.0,3.44,PG,1643577680.0
111,chuy,-33.6971,-53.4616,76.44,63.0,26.0,13.98,UY,1643577671.0
112,bambous virieux,-20.3428,57.7575,79.05,94.0,75.0,12.66,MU,1643577932.0
113,kropotkin,45.4375,40.5756,30.56,88.0,99.0,7.14,RU,1643577932.0
114,mae hong son,19.3003,97.9685,53.64,67.0,1.0,1.28,TH,1643577920.0
115,piet retief,-27.0071,30.8132,61.12,99.0,99.0,0.89,ZA,1643577933.0
116,hereford,52.0568,-2.7148,49.82,92.0,93.0,1.01,GB,1643577933.0
117,kabinda,-6.1333,24.4833,66.16,96.0,100.0,3.13,CD,1643577934.0
118,micheweni,-4.9667,39.8333,79.14,81.0,81.0,10.4,TZ,1643577934.0
119,mar del plata,-38.0023,-57.5575,66.87,91.0,100.0,21.0,AR,1643577858.0
120,fayaoue,-20.65,166.5333,81.86,83.0,99.0,12.44,NC,1643577935.0
121,chabahar,25.2919,60.643,71.69,79.0,0.0,13.35,IR,1643577935.0
122,narrabri,-30.3167,149.7833,76.51,72.0,94.0,2.95,AU,1643577936.0
123,semey,50.4111,80.2275,12.25,91.0,99.0,8.32,KZ,1643577683.0
124,terrassa,41.5667,2.0167,57.33,47.0,0.0,3.0,ES,1643577936.0
125,colares,38.7992,-9.4469,57.88,39.0,0.0,5.01,PT,1643577937.0
126,horsham,51.064,-0.3272,46.02,72.0,75.0,12.66,GB,1643577937.0
127,guerrero negro,27.9769,-114.0611,65.34,52.0,100.0,15.03,MX,1643577875.0
128,fengxian,34.7039,116.5872,32.5,82.0,52.0,7.43,CN,1643577938.0
129,cape town,-33.9258,18.4232,67.87,79.0,0.0,4.0,ZA,1643577799.0
130,kindu,-2.95,25.95,72.72,80.0,100.0,3.13,CD,1643577939.0
131,margate,51.3813,1.3862,44.31,78.0,100.0,7.0,GB,1643577939.0
132,talara,-4.5772,-81.2719,79.56,61.0,0.0,13.8,PE,1643577868.0
133,kavieng,-2.5744,150.7967,80.98,76.0,86.0,1.99,PG,1643577940.0
134,chuchkovo,54.2693,41.4465,24.12,95.0,100.0,13.24,RU,1643577940.0
135,narsaq,60.9167,-46.05,23.22,67.0,100.0,12.91,GL,1643577940.0
136,cidreira,-30.1811,-50.2056,74.97,68.0,7.0,17.45,BR,1643577941.0
137,bathsheba,13.2167,-59.5167,79.41,69.0,40.0,24.16,BB,1643577941.0
138,cartagena,10.3997,-75.5144,85.62,58.0,20.0,20.71,CO,1643577752.0
139,liberty,31.8335,-81.5004,59.32,25.0,0.0,5.99,US,1643577839.0
140,khani,41.9563,42.9566,31.57,82.0,100.0,7.58,GE,1643577942.0
141,touros,-5.1989,-35.4608,83.3,74.0,21.0,12.84,BR,1643577934.0
142,kununurra,-15.7667,128.7333,78.78,89.0,100.0,9.22,AU,1643577943.0
143,kavaratti,10.5669,72.642,81.28,73.0,15.0,8.79,IN,1643577943.0
144,cockburn town,21.4612,-71.1419,75.16,69.0,75.0,13.8,TC,1643577944.0
145,faanui,-16.4833,-151.75,80.2,73.0,11.0,7.52,PF,1643577944.0
146,tonota,-21.4833,27.4833,71.47,72.0,95.0,12.12,BW,1643577945.0
148,bredasdorp,-34.5322,20.0403,70.29,83.0,99.0,10.36,ZA,1643577945.0
149,ambulu,-8.345,113.6058,76.21,92.0,100.0,3.09,ID,1643577946.0
150,victoria,22.2855,114.1577,59.32,78.0,82.0,3.0,HK,1643577824.0
151,shingu,33.7333,135.9833,35.31,79.0,56.0,7.0,JP,1643578006.0
152,maceio,-9.6658,-35.7353,83.64,78.0,40.0,10.36,BR,1643577825.0
153,souillac,-20.5167,57.5167,79.18,94.0,75.0,12.66,MU,1643577719.0
154,porto santo,33.072,-16.3415,64.31,88.0,40.0,17.27,PT,1643578008.0
155,mogadishu,2.0371,45.3438,77.23,81.0,85.0,21.14,SO,1643578008.0
156,conde,-7.2597,-34.9075,81.86,78.0,20.0,10.36,BR,1643578009.0
157,mandalgovi,45.7625,106.2708,-1.59,82.0,8.0,8.55,MN,1643578009.0
158,kuah,6.3265,99.8432,80.58,78.0,20.0,3.44,MY,1643578010.0
159,havre-saint-pierre,50.2334,-63.5986,12.2,72.0,0.0,16.11,CA,1643577835.0
160,san carlos de bariloche,-41.1456,-71.3082,59.25,26.0,20.0,19.57,AR,1643578010.0
161,yulara,-25.2406,130.9889,71.44,100.0,75.0,12.66,AU,1643577882.0
162,ouro preto,-20.3948,-43.5052,67.93,88.0,71.0,4.12,BR,1643578011.0
163,bud,39.447,-86.1758,39.15,57.0,49.0,11.27,US,1643577989.0
164,talnakh,69.4865,88.3972,-13.88,96.0,83.0,8.9,RU,1643577904.0
165,tuktoyaktuk,69.4541,-133.0374,-0.4,78.0,100.0,19.57,CA,1643577886.0
166,yar-sale,66.8333,70.8333,-6.2,99.0,90.0,6.71,RU,1643577965.0
167,sao filipe,14.8961,-24.4956,71.42,73.0,100.0,12.8,CV,1643577905.0
168,santa rosa,14.3122,121.1114,78.85,85.0,61.0,10.2,PH,1643577782.0
169,lata,40.1629,-8.3327,48.72,50.0,99.0,2.89,PT,1643577821.0
170,udachnyy,66.4167,112.4,-29.43,100.0,78.0,2.64,RU,1643578013.0
171,oromocto,45.8351,-66.4792,18.91,56.0,0.0,13.0,CA,1643578013.0
172,samfya,-11.3649,29.5565,65.21,92.0,100.0,1.12,ZM,1643578014.0
173,dubuque,42.4833,-90.8668,29.32,66.0,40.0,6.91,US,1643577930.0
174,tiksi,71.6872,128.8694,-18.0,100.0,95.0,4.45,RU,1643577882.0
175,mehamn,71.0357,27.8492,32.18,69.0,75.0,18.41,NO,1643577992.0
176,monywa,22.1167,95.1333,59.38,58.0,0.0,7.05,MM,1643577718.0
177,ismailia,30.6043,32.2723,53.15,44.0,39.0,8.72,EG,1643577815.0
178,clyde river,70.4692,-68.5914,-21.77,76.0,100.0,3.44,CA,1643577876.0
179,chandla,25.0833,80.2,56.64,45.0,0.0,0.85,IN,1643578015.0
180,vawkavysk,53.1561,24.4513,29.8,94.0,100.0,27.27,BY,1643578015.0
181,portland,45.5234,-122.6762,53.37,71.0,75.0,4.0,US,1643577940.0
182,ettlingen,48.9409,8.4076,39.7,81.0,35.0,4.7,DE,1643578016.0
183,hualmay,-11.0964,-77.6139,73.08,77.0,100.0,9.71,PE,1643578016.0
184,saint anthony,45.0205,-93.218,24.73,63.0,0.0,1.99,US,1643577964.0
185,aripuana,-9.1667,-60.6333,75.54,97.0,100.0,2.51,BR,1643578017.0
186,port hardy,50.6996,-127.4199,43.75,87.0,75.0,6.91,CA,1643577937.0
187,obihiro,42.9172,143.2044,-4.36,94.0,22.0,2.53,JP,1643578018.0
188,airai,-8.9266,125.4092,60.76,91.0,78.0,3.96,TL,1643578018.0
189,ebbw vale,51.7771,-3.2079,46.85,91.0,99.0,23.33,GB,1643578018.0
190,mersing,2.4312,103.8405,78.71,83.0,93.0,6.91,MY,1643578019.0
191,torbay,47.6666,-52.7314,42.58,82.0,100.0,23.02,CA,1643578019.0
192,hithadhoo,-0.6,73.0833,81.61,70.0,81.0,9.04,MV,1643578020.0
193,buchanan,5.8808,-10.0467,78.76,82.0,57.0,5.88,LR,1643578020.0
195,grindavik,63.8424,-22.4338,27.07,74.0,75.0,39.12,IS,1643577762.0
196,suna,57.8338,50.0588,5.97,99.0,91.0,3.78,RU,1643578021.0
197,kaitangata,-46.2817,169.8464,63.99,76.0,17.0,2.26,NZ,1643577921.0
198,norman wells,65.282,-126.8329,-25.56,62.0,75.0,0.0,CA,1643577838.0
199,evensk,61.95,159.2333,20.21,73.0,100.0,26.71,RU,1643578022.0
201,pisco,-13.7,-76.2167,75.25,69.0,40.0,6.91,PE,1643578082.0
202,barhi,23.9,80.8,56.14,33.0,0.0,2.08,IN,1643578083.0
203,broome,42.2506,-75.833,23.02,60.0,100.0,1.01,US,1643578083.0
204,luderitz,-26.6481,15.1594,66.11,85.0,89.0,8.28,NA,1643578084.0
205,klaksvik,62.2266,-6.589,36.52,97.0,100.0,34.96,FO,1643578085.0
206,karratha,-20.7377,116.8463,82.47,63.0,63.0,19.28,AU,1643578085.0
207,khunti,23.0833,85.2833,50.11,39.0,34.0,3.91,IN,1643578086.0
208,kenai,60.5544,-151.2583,19.02,97.0,0.0,3.44,US,1643578086.0
209,raga,8.4596,25.678,68.16,20.0,53.0,3.51,SS,1643577901.0
210,carora,10.1755,-70.0827,90.73,25.0,92.0,8.81,VE,1643577829.0
212,kodiak,57.79,-152.4072,26.11,68.0,0.0,12.66,US,1643578087.0
213,padang,-0.9492,100.3543,75.25,89.0,100.0,3.85,ID,1643578088.0
214,sur,22.5667,59.5289,71.47,65.0,0.0,2.84,OM,1643577870.0
215,aklavik,68.2191,-135.0107,2.23,96.0,100.0,4.94,CA,1643578089.0
216,liwale,-9.7667,37.9333,68.74,97.0,100.0,0.78,TZ,1643578089.0
217,villamontes,-21.25,-63.5,93.83,26.0,0.0,7.63,BO,1643578089.0
218,lebu,-37.6167,-73.65,61.3,64.0,0.0,19.46,CL,1643577873.0
219,cherskiy,68.75,161.3,-26.73,98.0,99.0,1.45,RU,1643578090.0
220,katsuura,35.1333,140.3,39.31,53.0,100.0,11.01,JP,1643577890.0
221,longyearbyen,78.2186,15.6401,8.44,61.0,0.0,19.57,SJ,1643578047.0
222,ugoofaaru,5.6667,73.0,81.16,76.0,41.0,13.73,MV,1643578091.0
223,batticaloa,7.7102,81.6924,77.61,84.0,29.0,7.11,LK,1643578091.0
224,te anau,-45.4167,167.7167,63.75,76.0,21.0,0.04,NZ,1643578092.0
225,saldanha,-33.0117,17.9442,66.25,91.0,99.0,9.57,ZA,1643578093.0
226,herat,34.5,62.0,38.98,72.0,0.0,2.39,AF,1643577951.0
227,coracora,-15.0333,-73.7833,50.79,73.0,100.0,9.33,PE,1643578093.0
230,along,28.1667,94.7667,44.47,80.0,16.0,1.52,IN,1643578094.0
231,beringovskiy,63.05,179.3167,-9.47,100.0,100.0,8.95,RU,1643577799.0
232,archidona,37.0965,-4.3887,49.91,35.0,40.0,1.74,ES,1643578095.0
233,bahir dar,11.5936,37.3908,65.28,62.0,88.0,2.53,ET,1643578095.0
234,faya,18.3851,42.4509,57.31,86.0,11.0,4.43,SA,1643577832.0
235,asau,46.4333,26.4,40.75,67.0,99.0,20.96,RO,1643578096.0
236,bogale,16.2833,95.4,62.35,82.0,88.0,6.02,MM,1643578096.0
237,umm kaddadah,13.6017,26.6876,58.1,16.0,0.0,12.57,SD,1643578097.0
238,atchison,39.563,-95.1216,49.64,49.0,100.0,3.44,US,1643578097.0
239,smithers,54.7804,-127.1743,30.52,86.0,100.0,10.36,CA,1643578098.0
240,egvekinot,66.3167,-179.1667,-1.01,64.0,53.0,7.83,RU,1643578098.0
241,auki,-8.7676,160.7034,79.68,84.0,100.0,2.71,SB,1643578099.0
242,asyut,27.181,31.1837,51.46,46.0,2.0,7.85,EG,1643578100.0
243,carnarvon,-24.8667,113.6333,78.87,73.0,75.0,16.11,AU,1643578100.0
244,haines junction,60.7522,-137.5108,10.35,61.0,98.0,10.36,CA,1643578101.0
245,sao sebastiao,-23.76,-45.4097,74.84,93.0,100.0,0.67,BR,1643578101.0
246,arraial do cabo,-22.9661,-42.0278,78.66,89.0,75.0,8.05,BR,1643578102.0
247,mocuba,-16.8392,36.9856,71.15,98.0,9.0,1.39,MZ,1643578102.0
248,cotonou,6.3654,2.4183,82.38,54.0,81.0,4.61,BJ,1643578103.0
249,rudbar,30.15,62.6,54.64,39.0,0.0,4.0,AF,1643578103.0
250,coihaique,-45.5752,-72.0662,59.61,47.0,40.0,9.22,CL,1643577968.0
251,siemiatycze,52.4272,22.8623,32.25,92.0,100.0,25.28,PL,1643578164.0
252,whitehorse,60.7161,-135.0538,8.82,69.0,75.0,8.99,CA,1643577755.0
253,kiama,-34.6833,150.8667,77.0,85.0,28.0,1.5,AU,1643578165.0
254,karasjok,69.4719,25.5112,5.11,99.0,20.0,3.11,NO,1643578165.0
255,fort nelson,58.8053,-122.7002,0.99,71.0,100.0,11.5,CA,1643578090.0
256,solana beach,32.9912,-117.2711,78.89,46.0,0.0,5.01,US,1643578166.0
257,shiraz,29.6036,52.5388,40.44,52.0,26.0,0.0,IR,1643577878.0
258,ponta do sol,32.6667,-17.1,65.12,39.0,1.0,9.15,PT,1643578167.0
259,tha chang,9.2642,99.1922,74.88,86.0,9.0,1.32,TH,1643578167.0
260,sitka,57.0531,-135.33,37.29,75.0,75.0,0.0,US,1643578168.0
262,san cristobal,7.7669,-72.225,71.78,57.0,95.0,4.81,VE,1643578103.0
263,okha,53.5739,142.9478,8.89,94.0,100.0,21.56,RU,1643578169.0
264,hukuntsi,-24.0,21.75,70.95,73.0,75.0,9.91,BW,1643578169.0
265,alofi,-19.0595,-169.9187,71.49,100.0,100.0,9.22,NU,1643578170.0
266,shimoda,34.6667,138.95,36.1,65.0,98.0,8.3,JP,1643577959.0
267,canavieiras,-15.675,-38.9472,79.99,79.0,9.0,9.62,BR,1643578050.0
268,port-gentil,-0.7193,8.7815,82.36,83.0,40.0,8.05,GA,1643578122.0
269,gojo,34.35,135.7,34.09,90.0,37.0,0.85,JP,1643578171.0
270,kahului,20.8947,-156.47,82.42,56.0,0.0,14.97,US,1643578172.0
271,acapulco,16.8634,-99.8901,84.02,74.0,0.0,11.5,MX,1643578033.0
272,chibombo,-14.6569,28.0706,63.46,98.0,100.0,3.58,ZM,1643578172.0
273,birjand,32.8663,59.2211,27.07,50.0,0.0,6.91,IR,1643578173.0
275,sola,-13.8833,167.55,81.27,83.0,100.0,0.0,VU,1643578174.0
276,cabedelo,-6.9811,-34.8339,83.07,72.0,17.0,12.33,BR,1643578174.0
277,aksu,41.1231,80.2644,22.37,54.0,4.0,1.41,CN,1643578123.0
278,campina verde,-19.5356,-49.4864,71.56,86.0,100.0,10.2,BR,1643578175.0
279,komsomolskiy,40.4272,71.7189,30.92,86.0,100.0,2.3,UZ,1643578176.0
280,pueblo,38.2545,-104.6091,59.9,19.0,0.0,4.61,US,1643578176.0
281,nemuro,43.3236,145.575,15.75,68.0,45.0,11.92,JP,1643578177.0
282,atar,20.5169,-13.0499,81.16,11.0,100.0,7.94,MR,1643578178.0
283,bay roberts,47.5999,-53.2648,43.34,80.0,100.0,10.0,CA,1643578178.0
285,salamanca,40.8333,-6.0,29.98,48.0,13.0,0.85,ES,1643578179.0
286,xuddur,4.1213,43.8894,74.23,23.0,100.0,11.25,SO,1643578179.0
287,lorengau,-2.0226,147.2712,78.3,87.0,100.0,12.01,PG,1643578180.0
288,san vicente,-26.6167,-54.1333,82.2,43.0,41.0,5.23,AR,1643578180.0
289,san policarpo,12.1791,125.5072,77.99,83.0,23.0,0.49,PH,1643578181.0
290,leningradskiy,69.3833,178.4167,-12.53,94.0,98.0,2.95,RU,1643578181.0
291,zharkent,44.1628,80.0,23.79,69.0,4.0,6.64,KZ,1643578182.0
292,grand gaube,-20.0064,57.6608,79.2,81.0,100.0,5.99,MU,1643578182.0
295,cabra,37.4725,-4.4421,51.91,36.0,48.0,3.47,ES,1643578183.0
