,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,petropavlovsk-kamchatskiy,53.0452,158.6483,12.79,85.0,75.0,6.71,RU,1643578184.0
297,vestmannaeyjar,63.4427,-20.2734,31.55,62.0,100.0,39.03,IS,1643577909.0
298,dicabisagan,17.0818,122.4157,73.42,88.0,76.0,11.95,PH,1643578184.0
299,vardo,70.3705,31.1107,28.15,93.0,40.0,10.36,NO,1643578185.0
300,san quintin,30.4833,-115.95,64.24,47.0,1.0,8.66,MX,1643578245.0
301,husavik,66.0449,-17.3389,22.91,67.0,40.0,27.76,IS,1643578246.0
302,helong,42.5397,128.9972,4.37,88.0,4.0,5.26,CN,1643578246.0
303,kargat,55.1956,80.2811,10.17,96.0,83.0,8.59,RU,1643578247.0
305,alekseyevsk,57.8406,108.3492,-2.69,100.0,98.0,2.48,RU,1643578247.0
306,nanortalik,60.1432,-45.2371,16.25,88.0,100.0,21.97,GL,1643578248.0
307,luba,3.4568,8.5547,76.89,78.0,100.0,7.16,GQ,1643578248.0
308,bethel,41.3712,-73.414,25.48,46.0,0.0,6.91,US,1643578248.0
309,aswan,24.0934,32.907,56.12,38.0,100.0,10.09,EG,1643578249.0
310,stodolishche,54.1859,32.6492,29.59,96.0,100.0,7.52,RU,1643578249.0
311,harlingen,26.1906,-97.6961,71.78,58.0,100.0,11.5,US,1643578174.0
312,garden city,42.3256,-83.331,27.37,65.0,100.0,4.61,US,1643578250.0
313,walvis bay,-22.9575,14.5053,67.08,94.0,100.0,9.22,NA,1643578250.0
314,atambua,-9.1061,124.8925,74.64,87.0,91.0,7.76,ID,1643578251.0
315,ayni,39.3941,68.5377,22.3,64.0,42.0,6.82,TJ,1643578251.0
316,buffalo,42.8865,-78.8784,23.49,57.0,75.0,8.05,US,1643578117.0
317,lucea,18.451,-78.1736,73.26,77.0,94.0,17.18,JM,1643578252.0
318,nguruka,-5.1092,31.0419,65.3,96.0,100.0,3.44,TZ,1643578252.0
319,boguchany,58.3814,97.4531,-11.43,100.0,100.0,0.36,RU,1643578252.0
320,uige,-7.6087,15.0613,66.54,97.0,100.0,0.94,AO,1643578253.0
321,northam,51.0333,-4.2167,50.4,94.0,71.0,26.46,GB,1643578253.0
322,fomboni,-12.28,43.7425,82.06,69.0,14.0,5.39,KM,1643578254.0
323,drayton valley,53.2168,-114.9854,32.85,96.0,100.0,2.77,CA,1643578202.0
324,leh,34.1667,77.5833,6.08,91.0,100.0,1.74,IN,1643578022.0
325,taoudenni,22.6783,-3.9836,74.57,14.0,87.0,14.7,ML,1643578113.0
327,nikolskoye,59.7035,30.7861,27.39,95.0,100.0,6.73,RU,1643578079.0
328,codrington,-38.2667,141.9667,67.01,88.0,54.0,6.4,AU,1643578255.0
329,sorland,67.667,12.6934,30.27,44.0,91.0,6.82,NO,1643578256.0
330,golpayegan,33.4537,50.2884,24.57,40.0,3.0,4.7,IR,1643578256.0
331,vao,-22.6667,167.4833,79.07,84.0,100.0,5.88,NC,1643578257.0
332,korla,41.7597,86.1469,24.19,57.0,100.0,4.25,CN,1643578052.0
333,sao joao da barra,-21.6403,-41.0511,84.29,89.0,9.0,9.26,BR,1643578257.0
334,visavadar,21.3833,70.6833,61.41,62.0,1.0,5.26,IN,1643578258.0
336,keti bandar,24.1447,67.4497,71.19,84.0,0.0,12.59,PK,1643578259.0
337,zhanaozen,43.3,52.8,39.15,72.0,100.0,14.09,KZ,1643578259.0
338,anqing,30.5092,117.0506,35.31,79.0,92.0,0.85,CN,1643578260.0
340,half moon bay,37.4636,-122.4286,66.24,74.0,0.0,1.99,US,1643578260.0
341,tilichiki,60.4667,166.1,20.52,73.0,100.0,12.84,RU,1643578261.0
342,aketi,2.7388,23.7833,70.36,36.0,93.0,2.48,CD,1643578261.0
343,kutum,14.2,24.6667,54.5,17.0,1.0,13.8,SD,1643578262.0
344,tournon-sur-rhone,45.0667,4.8333,46.26,91.0,11.0,7.43,FR,1643578262.0
345,quelimane,-17.8786,36.8883,78.75,89.0,0.0,2.3,MZ,1643578263.0
346,madera,37.1666,-119.8343,66.97,50.0,0.0,1.99,US,1643578230.0
347,caravelas,-17.7125,-39.2481,80.37,81.0,11.0,11.86,BR,1643578058.0
349,fortuna,40.5982,-124.1573,60.93,70.0,0.0,5.01,US,1643578019.0
350,gladstone,-23.85,151.25,80.78,78.0,19.0,5.75,AU,1643578102.0
351,cheremukhovo,60.3484,59.9851,-8.07,100.0,100.0,2.1,RU,1643578324.0
352,tazovskiy,67.4667,78.7,-10.93,99.0,100.0,8.48,RU,1643578325.0
355,srandakan,-7.9386,110.2506,61.74,89.0,100.0,4.41,ID,1643578326.0
356,nelson bay,-32.7167,152.15,76.75,90.0,80.0,1.01,AU,1643578326.0
358,timizart,36.8,4.2667,47.19,64.0,0.0,4.94,DZ,1643578327.0
359,najran,17.4924,44.1277,61.45,30.0,15.0,1.81,SA,1643578328.0
360,coahuayana,18.7333,-103.6833,90.88,30.0,0.0,7.0,MX,1643578328.0
361,hasaki,35.7333,140.8333,28.8,48.0,100.0,16.82,JP,1643578329.0
362,bilibino,68.0546,166.4372,-12.64,96.0,75.0,5.12,RU,1643578329.0
363,nova vicosa,-17.8919,-39.3719,80.06,81.0,49.0,14.32,BR,1643578330.0
364,tallahassee,30.4383,-84.2807,61.09,44.0,20.0,1.01,US,1643577962.0
365,natchez,31.5604,-91.4032,68.9,35.0,0.0,16.11,US,1643578330.0
366,stornoway,58.2093,-6.3865,42.76,83.0,75.0,8.99,GB,1643578331.0
367,uppsala,60.0,17.75,30.78,74.0,100.0,16.11,SE,1643578331.0
368,dolinsk,47.35,142.8,-23.94,96.0,79.0,4.47,RU,1643578332.0
369,kita,13.0349,-9.4895,79.5,12.0,55.0,5.41,ML,1643578332.0
370,constitucion,-35.3333,-72.4167,65.75,67.0,5.0,19.95,CL,1643578333.0
371,hambantota,6.1241,81.1185,75.54,100.0,0.0,2.3,LK,1643578333.0
372,pouso alegre,-22.23,-45.9364,70.84,95.0,98.0,1.99,BR,1643578334.0
373,gravdal,68.1214,13.5031,30.09,80.0,75.0,1.14,NO,1643578334.0
374,talcahuano,-36.7167,-73.1167,69.48,52.0,0.0,18.41,CL,1643578215.0
375,tashtyp,52.7939,89.8983,-11.0,99.0,44.0,1.95,RU,1643578335.0
376,berlevag,70.8578,29.0864,30.2,93.0,100.0,14.97,NO,1643578335.0
377,yumen,40.2833,97.2,14.25,44.0,100.0,6.46,CN,1643578336.0
378,dunedin,-45.8742,170.5036,66.79,72.0,0.0,10.0,NZ,1643578336.0
380,cabo san lucas,22.8909,-109.9124,80.91,55.0,20.0,6.91,MX,1643578304.0
381,palmer,42.1584,-72.3287,22.69,35.0,20.0,3.0,US,1643578242.0
382,kinna,57.5073,12.6946,33.33,65.0,5.0,4.12,SE,1643578337.0
383,havelock,34.8791,-76.9013,44.06,49.0,6.0,8.99,US,1643577858.0
384,naryan-mar,67.6713,53.087,12.99,93.0,100.0,14.65,RU,1643578338.0
385,east london,-33.0153,27.9116,74.34,85.0,77.0,14.32,ZA,1643578176.0
386,fraga,41.5229,0.3489,36.43,49.0,0.0,5.23,ES,1643578339.0
387,itarema,-2.9248,-39.9167,76.91,83.0,100.0,8.77,BR,1643578339.0
388,galle,6.0367,80.217,76.28,90.0,28.0,2.62,LK,1643578339.0
389,uray,60.1247,64.7758,1.76,97.0,100.0,2.55,RU,1643578340.0
390,lasa,46.6166,10.7002,44.51,46.0,13.0,6.78,IT,1643578246.0
391,dodge city,37.7528,-100.0171,60.94,19.0,0.0,5.99,US,1643578341.0
392,ahipara,-35.1667,173.1667,74.28,56.0,97.0,13.11,NZ,1643578341.0
393,jumla,29.2747,82.1838,35.4,45.0,0.0,3.96,NP,1643578341.0
394,machico,32.7,-16.7667,65.12,86.0,40.0,14.97,PT,1643578342.0
396,yantongshan,43.2919,126.0094,-2.97,91.0,5.0,3.27,CN,1643578343.0
397,nouadhibou,20.931,-17.0347,66.18,63.0,100.0,14.97,MR,1643578343.0
398,arman,59.7,150.1667,5.07,77.0,100.0,14.5,RU,1643578344.0
399,bafut,6.0833,10.1,66.11,28.0,98.0,1.03,CM,1643578344.0
400,sijunjung,-0.6876,100.9537,71.83,97.0,100.0,0.89,ID,1643578405.0
401,am timan,11.0297,20.2827,72.73,17.0,4.0,7.54,TD,1643578405.0
402,olafsvik,64.8945,-23.7142,27.61,55.0,100.0,32.46,IS,1643578406.0
403,santa rosalia,27.3167,-112.2833,65.01,37.0,100.0,5.66,MX,1643578406.0
404,kearney,40.6995,-99.0815,54.16,23.0,0.0,13.0,US,1643578406.0
405,port hueneme,34.1478,-119.1951,80.33,47.0,0.0,6.91,US,1643578407.0
406,ambilobe,-13.2,49.05,74.39,93.0,86.0,1.88,MG,1643578407.0
408,ust-tsilma,65.441,52.1498,11.62,93.0,100.0,6.49,RU,1643578408.0
409,honningsvag,70.9821,25.9704,31.75,69.0,0.0,20.71,NO,1643578408.0
411,meadow lake,34.8014,-106.5436,50.4,29.0,100.0,2.73,US,1643578272.0
412,burnie,-41.0667,145.9167,71.92,76.0,12.0,6.51,AU,1643578409.0
413,kasongo-lunda,-6.4667,16.8167,71.6,90.0,100.0,1.48,CD,1643578410.0
414,okhotsk,59.3833,143.3,13.64,73.0,100.0,17.78,RU,1643578410.0
415,hammerfest,70.6634,23.6821,30.65,74.0,20.0,12.66,NO,1643578410.0
416,becerril,9.7041,-73.2793,90.16,36.0,77.0,4.94,CO,1643578411.0
417,jinchang,38.4953,102.1739,15.15,39.0,70.0,5.88,CN,1643578412.0
418,aksarka,66.5606,67.7975,-12.5,100.0,85.0,4.5,RU,1643578412.0
419,wagga wagga,-35.1167,147.3667,76.6,88.0,40.0,6.91,AU,1643578413.0
420,magistralnyy,56.1725,107.4458,-5.96,100.0,100.0,1.74,RU,1643578413.0
421,ziniare,12.5822,-1.2983,78.84,12.0,16.0,10.87,BF,1643578414.0
422,arrecife,28.963,-13.5477,66.18,39.0,0.0,8.05,ES,1643578414.0
423,dwarka,22.2394,68.9678,69.85,80.0,0.0,9.66,IN,1643578415.0
424,isangel,-19.55,169.2667,78.91,94.0,100.0,13.8,VU,1643578415.0
425,ozinki,51.1786,49.6769,24.69,95.0,93.0,11.18,RU,1643578415.0
426,katobu,-4.9408,122.5276,76.66,90.0,100.0,3.33,ID,1643578416.0
427,kikwit,-5.041,18.8162,75.6,72.0,100.0,0.38,CD,1643578316.0
428,paamiut,61.994,-49.6678,13.82,75.0,100.0,5.44,GL,1643578416.0
429,bodmin,50.4715,-4.7243,49.66,85.0,77.0,23.49,GB,1643578417.0
430,brae,60.3964,-1.353,39.11,97.0,100.0,12.48,GB,1643578418.0
431,sioux lookout,50.1001,-91.917,10.78,85.0,100.0,4.61,CA,1643578418.0
434,flin flon,54.7682,-101.865,6.64,78.0,100.0,6.91,CA,1643578269.0
435,saint-pierre,-21.3393,55.4781,78.48,69.0,11.0,10.36,RE,1643578420.0
437,carutapera,-1.195,-46.02,74.91,94.0,100.0,7.47,BR,1643578420.0
438,mitu,1.1983,-70.1733,85.01,51.0,20.0,2.33,CO,1643578421.0
439,anadyr,64.75,177.4833,-19.52,75.0,20.0,2.24,RU,1643578308.0
440,sao sebastiao do cai,-29.5867,-51.3756,82.29,64.0,52.0,5.01,BR,1643578421.0
441,arvika,59.6553,12.5852,29.1,60.0,1.0,6.08,SE,1643578422.0
442,praia da vitoria,38.7333,-27.0667,58.75,94.0,75.0,24.05,PT,1643578422.0
444,benghazi,32.1167,20.0667,56.28,63.0,96.0,18.84,LY,1643578423.0
445,tessalit,20.1986,1.0114,69.84,14.0,28.0,11.07,ML,1643578424.0
446,sibolga,1.7427,98.7792,75.78,90.0,95.0,3.44,ID,1643578424.0
447,inhambane,-23.865,35.3833,74.93,82.0,67.0,7.94,MZ,1643578425.0
448,dubbo,-32.25,148.6167,71.73,83.0,40.0,12.66,AU,1643578320.0
449,mehran,33.1222,46.1646,44.08,46.0,1.0,7.81,IR,1643578425.0
450,heilbron,-27.2812,27.9709,60.51,93.0,100.0,6.29,ZA,1643578486.0
451,naze,28.3667,129.4833,52.72,67.0,92.0,19.53,JP,1643578486.0
452,burgos,42.3394,-3.7079,32.41,74.0,0.0,0.0,ES,1643578487.0
453,kalmunai,7.4167,81.8167,76.77,87.0,48.0,5.79,LK,1643578190.0
454,palora,-1.7,-77.9333,75.31,81.0,100.0,0.67,EC,1643578487.0
455,borogontsy,62.6683,131.1683,-37.59,100.0,70.0,0.38,RU,1643578212.0
456,vila velha,-20.3297,-40.2925,80.55,85.0,0.0,1.01,BR,1643578205.0
457,barra,-11.0894,-43.1417,79.3,66.0,60.0,5.03,BR,1643578488.0
458,twentynine palms,34.1356,-116.0542,72.34,7.0,0.0,1.01,US,1643578489.0
459,novyy urengoy,66.0833,76.6333,-12.42,100.0,96.0,6.49,RU,1643578489.0
460,kirkuk,35.4681,44.3922,43.66,69.0,4.0,3.22,IQ,1643578490.0
461,jieshi,22.8134,115.8257,52.95,68.0,96.0,15.75,CN,1643578490.0
462,tortoli,39.9256,9.6572,49.82,87.0,0.0,4.61,IT,1643578491.0
463,tiznit,29.5833,-9.5,62.44,27.0,100.0,22.24,MA,1643578491.0
465,misasi,-3.0,33.0833,65.62,95.0,100.0,4.65,TZ,1643578492.0
466,mount gambier,-37.8333,140.7667,62.51,100.0,100.0,2.3,AU,1643578454.0
467,estrela,-28.0611,-50.9383,62.85,94.0,34.0,5.35,BR,1643578493.0
468,peniche,39.3558,-9.3811,57.61,65.0,16.0,6.71,PT,1643578493.0
469,bitburg,49.9667,6.5333,36.59,61.0,40.0,0.0,DE,1643578494.0
470,dzaoudzi,-12.7887,45.2699,80.49,78.0,0.0,3.44,YT,1643578494.0
471,fort-shevchenko,44.5086,50.263,36.99,86.0,91.0,8.39,KZ,1643578495.0
472,peta,39.1667,21.0347,40.41,72.0,2.0,3.96,GR,1643578495.0
473,sulangan,11.1373,123.7228,81.39,76.0,70.0,6.31,PH,1643578495.0
474,chortomlyk,47.6232,34.142,31.01,93.0,72.0,13.78,UA,1643578496.0
475,amanganj,24.4333,80.0333,56.88,36.0,0.0,0.54,IN,1643578496.0
476,vysokogornyy,50.1167,139.15,-23.06,100.0,96.0,4.18,RU,1643578497.0
477,xiongzhou,25.1167,114.3,40.73,77.0,96.0,3.74,CN,1643578497.0
478,srednekolymsk,67.45,153.6833,-27.63,100.0,100.0,3.69,RU,1643578497.0
479,ha tinh,18.3333,105.9,62.2,92.0,100.0,9.22,VN,1643578362.0
480,yashkul,46.1711,45.3435,30.74,88.0,70.0,8.14,RU,1643578498.0
481,general cepeda,25.3833,-101.45,73.99,20.0,36.0,7.34,MX,1643578272.0
482,sungairaya,0.7,108.9,76.01,90.0,100.0,5.28,ID,1643578499.0
483,boysun,38.2061,67.1986,30.81,65.0,23.0,6.2,UZ,1643578499.0
484,borisovka,50.6236,35.9903,30.34,97.0,99.0,12.82,RU,1643578500.0
485,bethanien,-26.502,17.1583,77.22,50.0,72.0,9.73,NA,1643578500.0
486,christchurch,-43.5333,172.6333,72.32,64.0,21.0,4.0,NZ,1643578228.0
487,sal rei,16.1833,-22.9167,68.56,74.0,100.0,22.57,CV,1643578501.0
488,yenotayevka,47.2456,47.0281,28.47,85.0,66.0,7.09,RU,1643578405.0
489,tuatapere,-46.1333,167.6833,67.82,68.0,17.0,2.59,NZ,1643578501.0
490,bihoro,43.8228,144.1044,0.01,98.0,65.0,4.05,JP,1643578502.0
493,banda aceh,5.5577,95.3222,76.44,83.0,68.0,7.2,ID,1643578503.0
495,mayskiy,47.6931,40.1025,33.21,98.0,100.0,16.26,RU,1643578504.0
496,mont-dore,-22.2833,166.5833,84.18,99.0,100.0,7.07,NC,1643578505.0
497,barabai,-2.5833,115.3833,73.8,92.0,99.0,1.28,ID,1643578506.0
498,sanlucar de barrameda,36.7781,-6.3515,57.36,55.0,75.0,1.63,ES,1643578506.0
499,saint-joseph,-21.3667,55.6167,77.38,80.0,27.0,12.48,RE,1643578507.0
500,tecolutla,20.4833,-97.0167,69.66,76.0,41.0,9.01,MX,1643578567.0
501,tocopilla,-22.092,-70.1979,68.9,67.0,1.0,5.79,CL,1643578313.0
502,mahajanga,-15.7167,46.3167,82.42,83.0,20.0,4.61,MG,1643578568.0
503,thornbury,52.2333,-2.55,47.66,84.0,75.0,22.64,GB,1643578568.0
504,pathein,16.7833,94.7333,64.85,74.0,81.0,5.57,MM,1643578569.0
505,novoagansk,61.9449,76.6625,5.29,95.0,100.0,7.34,RU,1643578569.0
507,tarnow,50.0138,20.987,39.38,78.0,100.0,25.01,PL,1643578570.0
508,nawalapitiya,7.0559,80.5348,67.41,95.0,24.0,3.74,LK,1643578570.0
509,obera,-27.4871,-55.1199,85.1,31.0,3.0,3.36,AR,1643578570.0
510,garowe,8.4054,48.4845,68.67,73.0,100.0,11.12,SO,1643578571.0
511,findlay,41.0442,-83.6499,27.34,54.0,0.0,10.36,US,1643578571.0
512,meulaboh,4.1363,96.1285,76.55,86.0,86.0,3.22,ID,1643578448.0
513,kurilsk,45.2333,147.8833,18.19,67.0,100.0,17.78,RU,1643578572.0
514,kumluca,36.3703,30.2869,47.68,84.0,99.0,2.95,TR,1643578572.0
515,vostok,46.4856,135.8833,-21.87,99.0,66.0,3.49,RU,1643578573.0
516,lakselv,70.0513,24.9718,6.62,85.0,0.0,2.3,NO,1643578573.0
517,ayan,56.45,138.1667,1.17,69.0,100.0,16.11,RU,1643578574.0
518,dondo,-19.6094,34.7431,78.31,83.0,6.0,3.31,MZ,1643578574.0
519,uruzgan,32.8333,66.0,36.19,66.0,4.0,5.61,AF,1643578575.0
520,campo maior,-4.8278,-42.1686,74.12,86.0,89.0,3.89,BR,1643578575.0
522,sozimskiy,59.7418,52.2482,-4.45,100.0,65.0,2.86,RU,1643578576.0
523,boa vista,2.8197,-60.6733,93.18,33.0,40.0,14.97,BR,1643578576.0
524,ubinskoye,55.3068,79.6802,11.17,96.0,92.0,8.88,RU,1643578577.0
525,zaranj,30.9667,61.8833,48.16,46.0,13.0,8.63,AF,1643578577.0
527,ketchikan,55.3422,-131.6461,37.87,81.0,75.0,8.05,US,1643578578.0
528,ngunguru,-35.6167,174.5,72.16,71.0,96.0,16.11,NZ,1643578491.0
529,sexsmith,55.35,-118.786,25.95,93.0,100.0,5.75,CA,1643578579.0
531,canguaretama,-6.38,-35.1289,84.69,78.0,17.0,10.07,BR,1643578579.0
532,sorong,-0.8833,131.25,81.57,76.0,100.0,10.76,ID,1643578580.0
533,cayenne,4.9333,-52.3333,78.84,88.0,75.0,1.99,GF,1643578580.0
534,ostrovnoy,68.0531,39.5131,12.16,95.0,98.0,8.23,RU,1643578581.0
536,ucluelet,48.9329,-125.5528,43.11,93.0,100.0,5.99,CA,1643578581.0
537,nicolas bravo,18.45,-88.9167,74.28,42.0,29.0,3.58,MX,1643578582.0
539,nishihara,26.1842,127.7558,56.86,54.0,40.0,24.16,JP,1643578582.0
540,baykit,61.67,96.37,-4.34,99.0,100.0,0.4,RU,1643578583.0
541,rio gallegos,-51.6226,-69.2181,57.25,30.0,40.0,33.38,AR,1643578583.0
542,shaunavon,49.6501,-108.4181,35.38,79.0,100.0,7.05,CA,1643578584.0
543,asfi,32.2994,-9.2372,63.14,52.0,39.0,6.6,MA,1643578584.0
544,erenhot,43.6475,111.9767,4.59,89.0,100.0,17.54,CN,1643578585.0
545,ocos,14.5094,-92.1933,91.9,64.0,5.0,9.89,GT,1643578585.0
546,spencer,43.1414,-95.1444,24.58,72.0,0.0,5.75,US,1643578585.0
547,necochea,-38.5473,-58.7368,68.04,65.0,72.0,20.24,AR,1643578586.0
548,gogrial,8.5332,28.1004,72.19,20.0,87.0,6.08,SS,1643578586.0
549,buraydah,26.326,43.975,57.65,40.0,83.0,11.79,SA,1643578488.0
550,tiarei,-17.5333,-149.3333,84.22,75.0,95.0,10.98,PF,1643578647.0
551,longyan,25.1072,117.0225,37.67,93.0,46.0,4.16,CN,1643578647.0
552,antofagasta,-23.65,-70.4,69.08,74.0,16.0,8.84,CL,1643578563.0
553,golden,39.7555,-105.2211,54.99,32.0,20.0,4.0,US,1643578517.0
554,savannah bight,16.45,-85.85,73.99,66.0,90.0,14.52,HN,1643578424.0
555,byron bay,-28.65,153.6167,79.05,85.0,74.0,8.75,AU,1643578439.0
556,xinzhou,38.4092,112.7333,18.18,42.0,0.0,4.05,CN,1643578648.0
557,garissa,-0.4536,39.6401,78.04,67.0,43.0,13.35,KE,1643578649.0
558,matay,28.419,30.7792,50.99,45.0,4.0,8.12,EG,1643578649.0
559,aktyubinskiy,54.8137,52.8056,22.39,97.0,100.0,5.5,RU,1643578650.0
560,amapa,1.0,-52.0,72.43,99.0,87.0,2.44,BR,1643578641.0
561,ritchie,-29.038,24.6028,67.21,83.0,100.0,5.06,ZA,1643578650.0
562,praxedis guerrero,31.3667,-106.0167,64.42,26.0,9.0,14.61,MX,1643578651.0
563,nabire,-3.3667,135.4833,74.46,89.0,100.0,3.53,ID,1643578651.0
564,mao,39.8885,4.2658,50.56,81.0,0.0,6.91,ES,1643578652.0
565,mitsamiouli,-11.3847,43.2844,80.51,74.0,2.0,3.42,KM,1643578652.0
566,edinburg,55.9521,-3.1965,43.59,78.0,20.0,15.01,GB,1643578653.0
567,inirida,3.8653,-67.9239,86.99,45.0,16.0,1.25,CO,1643578653.0
568,mapiripan,2.8892,-72.1256,92.86,29.0,15.0,10.56,CO,1643578653.0
569,dalianwan,39.0286,121.695,21.24,79.0,0.0,0.0,CN,1643578654.0
570,sun city west,33.662,-112.3413,73.85,22.0,0.0,3.0,US,1643578654.0
572,oudtshoorn,-33.5907,22.2014,66.56,79.0,86.0,3.4,ZA,1643578655.0
573,jackson,42.4165,-122.8345,52.84,53.0,0.0,0.0,US,1643578622.0
574,kuala terengganu,5.3302,103.1408,73.35,94.0,20.0,3.44,MY,1643578656.0
575,port shepstone,-30.7414,30.455,73.99,83.0,98.0,13.78,ZA,1643578656.0
576,marquette,46.5333,-87.6335,19.33,77.0,100.0,5.03,US,1643578656.0
577,san andres,12.5847,-81.7006,82.42,69.0,75.0,10.36,CO,1643578657.0
578,watsa,3.0372,29.5355,66.78,40.0,99.0,1.39,CD,1643578657.0
579,dongsheng,39.8161,109.9776,7.09,49.0,0.0,15.41,CN,1643578658.0
580,dubna,56.7333,37.1667,22.93,94.0,100.0,9.24,RU,1643578658.0
581,iqaluit,63.7506,-68.5145,-15.07,76.0,40.0,5.75,CA,1643578658.0
582,agirish,61.9247,63.0231,-8.37,100.0,99.0,2.15,RU,1643578659.0
583,lubbock,33.6001,-101.8338,61.38,25.0,75.0,4.61,US,1643578138.0
584,lusambo,-4.9667,23.45,71.4,92.0,88.0,2.28,CD,1643578659.0
586,rafai,4.95,23.9167,70.14,31.0,85.0,3.18,CF,1643578660.0
587,makakilo city,21.3469,-158.0858,78.62,55.0,20.0,13.8,US,1643578426.0
588,barcelos,41.5388,-8.6151,53.85,64.0,1.0,3.96,PT,1643578497.0
589,rio grande,-32.035,-52.0986,80.71,72.0,21.0,19.55,BR,1643578661.0
590,catalina,32.5056,-110.9211,67.51,23.0,8.0,1.01,US,1643578661.0
591,mackay,-21.15,149.2,80.69,83.0,100.0,13.8,AU,1643578662.0
592,wattegama,6.7989,81.4808,74.32,96.0,24.0,4.45,LK,1643578662.0
593,victor harbor,-35.5667,138.6167,75.9,84.0,54.0,4.18,AU,1643578663.0
